AMC_name,Mutual Fund Name,category,risk_type,fund_rating,return_1yr,return_3yr,return_5yr,AuM(Cr),NAV,turnover_ratio,stocks_in_portfolio,standard_deviation,beta,sharpe_ratio,52_week_high,52_week_low
Mirae,Mirae Asset Banking and PSU Debt Fund Direct Growth,Debt,Low to Moderate Risk,3,2.39,4.18,2.29,14390.02,161.029,51.0,31,20.997,1.068,1.28,5/28/2013,3/14/2010
TRUSTMF,TRUSTMF Banking & PSU Debt Fund Direct Growth,Debt,Moderate Risk,2,1.75,36.22,7.59,11355.52,23.399,28.72,15,18.512999999999998,0.677,0.57,6/17/2007,10/9/2010
Mahindra,Mahindra Manulife Short Term Fund Direct Growth,Debt,Low to Moderate Risk,3,3.02,0.95,-11.19,27807.04,45.103,14.68,57,20.892,1.062,0.58,8/27/2011,7/1/2022
IDFC,IDFC Floating Rate Fund Direct Growth,Debt,Low to Moderate Risk,2,3.54,41.5,-3.72,29351.01,179.80200000000002,92.95,41,19.437,0.966,1.07,3/2/2007,11/17/2007
BHARAT,BHARAT Bond FOF April 2031 Direct Growth,Other,Moderate Risk,3,3.47,8.31,-8.76,10374.9,298.775,5.73,19,22.771,1.0070000000000001,0.74,12/3/2010,4/6/2010
Edelweiss,Edelweiss CRISIL PSU Plus SDL 50:50 Oct 2025 Index Fund Direct Growth,Other,Low to Moderate Risk,1,27.07,13.78,32.13,20514.87,296.952,48.16,65,22.671,0.8240000000000001,0.9,10/22/2009,10/16/2014
TRUSTMF,TRUSTMF Short Term Fund Direct Growth,Debt,Low to Moderate Risk,4,2.97,-1.83,49.15,24871.51,93.616,66.84,48,19.24,1.093,0.65,5/3/2014,1/16/2020
SBI,SBI Multicap Fund Direct Growth,Equity,Very High Risk,1,21.06,1.38,4.91,31184.39,324.026,25.73,48,22.183000000000003,0.9259999999999999,0.79,4/28/2009,5/5/2022
Navi,Navi US Total Stock Market FoF Direct Growth,Other,Very High Risk,4,11.4,29.31,23.59,22441.97,303.724,39.03,63,21.176,0.956,0.55,5/7/2017,11/9/2014
Mahindra,Mahindra Manulife Asia Pacific REITs FoF Direct Growth,Other,Very High Risk,2,26.26,25.3,22.0,18496.74,226.375,85.85,64,18.815,0.8,0.57,3/18/2006,4/11/2017
Aditya,Aditya Birla Sun Life Long Duration Fund Direct Growth,Debt,Moderate Risk,3,19.0,10.53,28.61,30617.5,285.543,93.15,21,18.963,1.141,0.93,10/16/2016,9/27/2009
Kotak,Kotak Nasdaq 100 FOF Direct Growth,Other,Very High Risk,3,-15.08,42.47,23.74,21383.86,256.902,34.55,43,18.297,0.753,0.51,2/14/2008,3/4/2014
Motilal,Motilal Oswal S&P BSE Enhanced Value Index Fund Direct Growth,Other,Very High Risk,1,18.49,16.43,42.96,36087.37,282.124,32.47,60,19.915,0.8109999999999999,0.59,8/5/2015,1/17/2007
Axis,Axis Multicap Fund Direct Growth,Equity,Very High Risk,3,26.31,18.97,37.6,19399.07,159.744,40.36,55,21.051,0.8320000000000001,0.53,9/28/2019,12/29/2016
Tata,Tata Nifty India Digital ETF FoF Direct Growth,Other,Very High Risk,1,6.24,36.56,36.1,29642.76,275.735,36.56,45,21.193,0.764,0.88,7/16/2013,4/25/2017
ICICI,ICICI Prudential Commodities Fund Direct Growth,Equity,High Risk,3,3.02,34.59,15.09,20173.27,151.85399999999998,73.39,66,20.875999999999998,0.878,0.58,3/22/2007,2/25/2013
UTI,UTI Nifty200 Momentum 30 Index Fund Direct Growth,Other,Very High Risk,2,0.29,18.23,45.2,10968.8,238.459,89.84,25,18.738,0.8029999999999999,0.69,8/4/2017,4/9/2008
Kotak,Kotak International REIT FOF Direct Growth,Other,Very High Risk,1,-1.71,2.46,-8.97,29840.83,169.78900000000002,7.36,33,19.031,1.057,1.03,11/19/2009,5/13/2022
ICICI,ICICI Prudential Silver ETF FoF Direct Growth,Other,Very High Risk,4,2.22,-0.18,16.8,29598.27,276.485,10.77,21,20.596,0.872,1.22,1/28/2022,12/3/2010
Motilal,Motilal Oswal Nifty Midcap 150 Index Fund Direct Growth,Other,Moderately High Risk,2,10.06,4.78,-0.17,31753.62,226.33599999999998,95.87,58,18.935,0.863,1.01,5/12/2012,11/5/2021
UTI,UTI Small Cap Fund Direct Growth,Equity,Very High Risk,3,12.93,12.98,-5.85,25385.27,44.724,48.84,26,21.939,0.9009999999999999,0.8,2/24/2012,9/19/2009
SBI,SBI International Access US Equity FoF Direct Growth,Other,Very High Risk,1,-2.15,-3.0,21.86,30802.61,246.12099999999998,63.68,30,18.165,0.7879999999999999,0.65,12/26/2009,8/22/2008
Aditya,Aditya Birla Sun Life NASDAQ 100 FOF Direct Growth,Other,Very High Risk,3,22.82,29.3,15.66,18213.35,55.345,57.27,36,19.024,0.825,0.74,4/17/2022,3/24/2011
PGIM,PGIM India Global Select Real Estate Securities FoF Direct Growth,Other,Very High Risk,1,6.87,11.04,-3.22,25081.71,60.818000000000005,19.51,20,20.565,0.88,1.14,4/5/2013,2/1/2007
Tata,Tata Business Cycle Fund Direct Growth,Equity,Very High Risk,1,10.72,12.71,-0.9,12577.21,184.007,98.26,46,18.65,1.12,1.02,4/9/2015,7/21/2017
Mahindra,Mahindra Manulife Focused Equity Yojana Direct Growth,Equity,Very High Risk,4,7.51,37.02,8.29,15469.43,232.498,73.36,34,18.39,0.759,0.68,12/6/2016,1/9/2008
SBI,SBI Fixed Maturity Plan Series 5 (92 Days) Direct Growth,Debt,Moderately Low Risk,3,31.54,40.38,52.3,11202.89,169.544,66.83,15,21.609,1.003,0.71,10/20/2009,12/14/2008
ICICI,ICICI Prudential Nifty 200 Momentum 30 Index Fund Direct Growth,Other,Very High Risk,1,15.29,30.49,-2.49,5059.76,229.967,8.06,40,19.176,0.8340000000000001,0.7,5/12/2015,6/12/2019
Samco,Samco Flexi Cap Fund Direct Growth,Equity,Very High Risk,4,11.6,13.23,52.92,32313.82,175.072,91.02,60,21.604,0.992,1.24,9/16/2017,4/1/2008
HDFC,HDFC NIFTY50 Equal Weight Index Fund Direct Growth,Other,Very High Risk,4,6.2,42.13,-4.0,28776.46,281.164,67.91,57,18.595,0.987,0.96,11/23/2013,2/19/2019
Nippon,Nippon India Nifty 50 Value 20 Index Fund Direct Growth,Other,Very High Risk,4,1.16,-1.87,-8.11,5080.12,158.987,32.5,33,22.295,0.838,0.93,10/24/2013,6/27/2020
HDFC,HDFC Nifty 100 Index Fund Direct Growth,Other,Very High Risk,3,-0.39,1.21,48.61,27028.1,286.026,79.51,50,22.413,0.7959999999999999,0.95,12/19/2019,10/19/2016
UTI,UTI S&P BSE Sensex Index Fund Direct Growth,Other,Very High Risk,2,8.01,34.25,50.72,11289.88,79.154,42.36,48,21.375,0.845,0.82,4/28/2013,12/4/2011
Aditya,Aditya Birla Sun Life CRISIL IBX AAA Jun 2023 Index Fund Direct Growth,Other,Low to Moderate Risk,4,12.63,35.27,8.73,4418.81,147.75,50.32,31,20.67,1.053,1.05,8/9/2021,3/7/2007
ICICI,ICICI Prudential Nifty Bank Index Fund Direct Growth,Other,Very High Risk,2,14.75,37.61,37.72,29736.41,217.99,28.4,32,18.723,0.725,1.08,3/11/2010,12/2/2011
Navi,Navi Nifty Bank Index Fund Direct Growth,Other,Very High Risk,4,4.9,43.09,-5.4,16907.21,82.34700000000001,21.63,23,18.832,0.972,0.7,11/7/2006,10/15/2016
Bank,Bank of India Bluechip Fund Direct Growth,Equity,Very High Risk,2,-2.87,24.03,23.07,32445.38,279.291,22.95,18,18.648,0.866,0.94,12/22/2010,5/16/2014
Edelweiss,Edelweiss NIFTY Large Mid Cap 250 Index Fund Direct Growth,Other,Very High Risk,1,-0.83,-6.62,-7.8,25469.69,83.023,19.4,34,17.930999999999997,0.679,1.07,1/14/2012,8/3/2006
ITI,ITI Pharma and Healthcare Fund Direct Growth,Equity,Very High Risk,3,18.03,38.23,13.67,5280.72,104.41799999999999,83.34,32,18.553,0.988,1.12,11/15/2017,10/13/2019
IDFC,IDFC Multi Cap Fund Direct Growth,Equity,Very High Risk,2,22.07,38.12,1.83,10015.37,296.736,97.88,21,19.79,0.9440000000000001,1.21,6/16/2013,11/2/2011
Mirae,Mirae Asset Overnight Fund Direct Growth,Debt,Low Risk,5,3.89,22.81,2.32,12331.69,294.843,29.38,21,21.139,1.156,0.82,1/31/2018,5/22/2013
Principal,Principal Small Cap Fund Direct Growth,Equity,Moderately High Risk,3,78.29,9.19,10.04,16366.01,211.692,14.43,55,18.727999999999998,1.07,1.08,3/17/2014,11/11/2016
Motilal,Motilal Oswal Nifty 50 Index Fund Direct Growth,Other,Very High Risk,1,2.8,18.85,-5.09,3563.97,105.726,36.69,38,19.654,1.034,0.88,1/22/2019,10/23/2013
Aditya,Aditya Birla Sun Life Business Cycle Fund Direct Growth,Equity,Very High Risk,3,27.77,29.99,2.05,32256.54,97.13600000000001,98.88,39,18.105999999999998,0.99,0.93,9/16/2020,5/29/2014
Quant,Quant Quantamental Fund Direct Growth,Equity,Very High Risk,1,21.05,43.35,30.67,36591.51,329.461,72.39,15,22.434,0.8109999999999999,1.25,7/2/2018,3/2/2020
Edelweiss,Edelweiss MSCI India Domestic & World Healthcare 45 Index Fund Direct Growth,Other,Very High Risk,2,-9.93,1.57,48.37,37031.3,255.172,19.72,35,19.472,1.155,0.93,4/14/2007,6/8/2015
SBI,SBI CPSE Bond Plus SDL Sep 2026 50:50 Index Fund Direct Growth,Other,Moderate Risk,2,25.63,11.61,-6.62,30086.01,30.732,63.1,54,18.958,0.759,1.31,4/7/2019,2/14/2019
Canara,Canara Robeco Value Fund Direct Growth,Equity,Very High Risk,3,13.7,21.95,29.66,31145.68,195.685,89.28,34,19.833,0.7020000000000001,1.31,7/29/2014,7/16/2017
Axis,Axis Special Situations Fund Direct Growth,Equity,Very High Risk,4,-4.04,-6.87,39.86,10304.1,200.97299999999998,3.9,45,22.77,0.818,0.81,2/3/2009,6/28/2007
Axis,Axis Equity ETFs FoF Direct Growth,Other,Very High Risk,4,20.34,2.27,-1.42,28044.93,29.480999999999998,18.93,50,20.298,0.941,0.9,10/15/2007,5/31/2012
Invesco,Invesco India Flexi Cap Fund Direct Growth,Equity,Very High Risk,4,29.33,27.59,-9.3,4360.48,260.813,24.67,62,20.77,1.162,0.68,5/24/2014,10/6/2013
Motilal,Motilal Oswal Asset Allocation Passive FoF Aggressive Direct Growth,Other,Very High Risk,4,2.3,22.04,31.12,30255.67,224.821,65.75,30,18.361,1.178,0.89,6/5/2012,12/11/2012
Invesco,Invesco India Flexi Cap Fund Direct Growth,Equity,Very High Risk,3,7.28,9.14,34.97,33003.07,78.433,58.36,48,18.327,0.8340000000000001,1.13,7/16/2006,7/30/2007
Edelweiss,Edelweiss MSCI India Domestic & World Healthcare 45 Index Fund Direct Growth,Other,Very High Risk,3,-9.93,4.76,37.39,8660.24,320.658,37.22,45,20.444000000000003,1.087,0.83,6/24/2013,6/12/2006
Axis,Axis ESG Equity Fund Direct Growth,Equity,Very High Risk,3,-8.75,28.25,44.14,9052.14,330.98199999999997,17.5,24,20.753,0.899,1.13,12/19/2020,9/9/2021
IDFC,IDFC US Equity FoF Direct Growth,Other,Very High Risk,3,-14.02,10.24,49.98,16418.15,285.671,64.87,54,19.732,1.163,0.85,5/29/2006,2/5/2014
HSBC,HSBC Mid Cap Fund Direct Growth,Equity,Very High Risk,4,4.23,22.85,39.08,5637.77,101.771,13.95,37,19.285,0.89,0.6,3/17/2018,10/2/2010
UTI,UTI S&P BSE Low Volatility Index Fund Direct Growth,Other,Very High Risk,4,0.88,8.36,33.23,14435.52,324.70099999999996,15.14,60,22.125,0.84,1.27,6/24/2021,6/10/2011
Motilal,Motilal Oswal Multi Asset Fund Direct Growth,Hybrid,Moderately High Risk,2,0.67,-0.68,6.74,10945.95,277.437,82.12,27,17.988,1.14,1.27,12/29/2015,7/12/2017
Aditya,Aditya Birla Sun Life Special Opportunities Fund Direct Growth,Equity,Very High Risk,4,2.05,40.75,17.75,6480.7,227.47799999999998,9.44,30,20.944000000000003,1.091,1.31,10/2/2006,9/1/2011
Mahindra,Mahindra Manulife Top 250 Nivesh Yojana Direct Growth,Equity,Moderately High Risk,2,9.04,35.16,5.51,4890.99,112.64,50.53,32,20.905,0.821,0.84,12/1/2015,11/5/2019
Axis,Axis Fixed Term Plan Series 109 (111 Days) Direct Growth,Debt,Moderate Risk,1,28.16,26.81,-3.6,18998.73,160.393,30.96,47,18.169,1.1079999999999999,0.53,9/20/2014,8/14/2013
Axis,Axis CRISIL IBX 70:30 CPSE Plus SDL April 2025 Index Fund Direct Growth,Other,Low to Moderate Risk,3,14.11,37.39,40.06,11533.07,33.018,86.68,47,21.899,1.079,0.87,7/18/2009,4/9/2008
Motilal,Motilal Oswal Nifty Next 50 Index Fund Direct Growth,Other,Very High Risk,4,4.09,30.14,40.97,8872.62,39.742,97.53,22,18.59,0.722,0.91,10/22/2012,8/12/2018
L&T,L&T Nifty Next 50 Index Fund Direct Growth,Other,Very High Risk,1,3.82,15.32,14.4,34320.25,257.22700000000003,63.41,28,22.498,1.141,1.3,7/11/2019,7/23/2018
ICICI,ICICI Prudential Global Advantage Fund (FOF) Direct  Growth,Other,High Risk,2,-16.59,37.74,14.54,2052.33,206.06099999999998,35.9,40,18.017,0.8009999999999999,0.9,10/3/2015,8/9/2010
ICICI,ICICI Prudential Global Advantage Fund (FOF) Direct Growth,Other,High Risk,1,-16.59,8.51,34.56,29239.05,321.64,55.29,28,18.165,0.706,1.11,6/4/2007,7/18/2008
HSBC,HSBC Global Equity Climate Change FoF Direct Growth,Other,Very High Risk,4,-23.83,-3.7,51.44,13895.17,236.28599999999997,18.83,57,21.469,0.797,1.29,3/12/2008,2/20/2006
Edelweiss,Edelweiss NIFTY PSU Bond Plus SDL Apr 2027 50:50 Index Direct Growth,Other,Moderate Risk,1,3.84,8.71,14.76,2669.37,339.12699999999995,19.74,35,18.207,0.858,1.24,12/19/2007,11/20/2007
Mirae,Mirae Asset Corporate Bond Fund Direct Growth,Debt,Low to Moderate Risk,2,2.37,-0.13,39.8,26841.25,125.395,5.81,40,17.964000000000002,0.894,0.91,6/25/2014,10/24/2014
IDFC,IDFC CRISIL Gilt 2027 Index Fund Direct Growth,Other,Moderate Risk,3,1.46,-2.96,13.35,38243.8,159.227,49.12,53,20.980999999999998,1.158,0.55,12/5/2008,8/8/2015
ITI,ITI Ultra Short Duration Fund Direct Growth,Debt,Low to Moderate Risk,2,3.77,-3.1,49.05,23653.19,288.722,27.67,50,22.045,1.071,0.74,1/1/2008,7/23/2013
PGIM,PGIM India Money Market Fund Direct Growth,Debt,Low to Moderate Risk,3,4.1,-7.28,9.34,19956.74,115.762,9.55,21,18.583,0.8190000000000001,1.19,8/23/2011,3/21/2010
JM,JM Overnight Fund Direct Growth,Debt,Low Risk,4,3.85,22.74,18.14,38033.67,206.548,43.93,23,20.05,1.137,0.91,5/24/2017,3/19/2019
TRUSTMF,TRUSTMF Liquid Fund Direct Growth,Debt,Low to Moderate Risk,2,3.96,13.21,15.47,8548.34,250.899,39.95,17,19.227,1.048,0.56,7/18/2013,6/2/2014
DSP,DSP Floater Fund Direct Growth,Debt,Low to Moderate Risk,2,2.33,10.74,6.72,24983.81,244.75,75.28,64,19.840999999999998,0.8240000000000001,1.22,12/9/2010,6/15/2009
Axis,Axis Retirement Savings Fund Conservative Plan Direct Growth,Solution Oriented,Moderately High Risk,4,1.14,8.07,-0.21,14059.73,323.882,99.43,52,18.643,0.9,0.54,7/30/2012,9/18/2016
BHARAT,BHARAT Bond FOF April 2030 Direct Growth,Other,Moderate Risk,2,3.95,34.46,38.48,28315.47,269.803,98.41,50,21.706999999999997,0.998,0.62,6/27/2017,5/7/2014
Axis,Axis Retirement Savings Fund Dynamic Plan Direct Growth,Solution Oriented,Moderately High Risk,3,1.47,4.57,35.83,15958.74,122.084,83.45,46,18.743,0.914,0.95,3/19/2010,9/16/2020
UTI,UTI Credit Risk Fund Segregated Portfolio 4 Direct Growth,Debt,Moderate Risk,4,12.54,25.07,20.3,667.34,60.812,88.28,58,17.975,0.9490000000000001,1.05,12/11/2017,6/21/2021
Kotak,Kotak Nifty Next 50 Index Fund Direct Growth,Other,Very High Risk,3,4.45,40.13,35.9,10793.63,37.427,0.73,15,19.352999999999998,0.679,0.84,3/25/2006,10/28/2007
IDFC,IDFC Nifty 100 Index Fund Direct Growth,Other,Very High Risk,4,21.23,18.36,13.82,31811.97,174.49900000000002,14.09,61,20.075,1.005,0.67,4/25/2008,1/18/2010
ICICI,ICICI Prudential NASDAQ 100 Index Fund Direct Growth,Other,Very High Risk,3,7.26,-0.56,0.93,32995.33,277.63,79.45,25,20.003,0.97,1.27,11/17/2006,3/28/2014
Navi,Navi Nifty 50 Index Fund Direct Growth,Other,Very High Risk,1,2.74,30.91,46.05,30416.16,346.27,82.99,19,19.976,0.688,0.64,10/3/2014,4/11/2019
Baroda,Baroda BNP Paribas Flexi Cap Fund Direct Growth,Equity,Very High Risk,3,11.43,3.52,33.03,28251.89,284.183,53.93,58,19.538,1.0490000000000002,0.55,8/21/2014,1/10/2021
ICICI,ICICI Prudential Nifty IT Index Fund Direct Growth,Other,Very High Risk,2,28.84,38.37,28.44,28087.64,172.635,2.94,57,22.377,0.69,0.7,1/17/2008,9/30/2015
ICICI,ICICI Prudential Flexicap Fund Direct Growth,Equity,Very High Risk,1,11.92,-5.01,39.22,18858.14,343.976,49.71,41,21.962,0.755,0.68,7/21/2014,7/13/2009
Navi,Navi NASDAQ 100 FoF Direct Growth,Other,Very High Risk,4,20.66,28.54,17.64,3219.61,58.056000000000004,20.69,15,21.211,0.981,1.27,4/30/2008,1/13/2009
Kotak,Kotak Multicap Fund Direct Growth,Equity,Very High Risk,3,26.67,11.68,25.97,5715.61,106.84899999999999,24.97,33,22.278000000000002,1.094,0.84,6/15/2010,12/7/2013
JM,JM Short Duration Fund Direct Growth,Debt,Low to Moderate Risk,2,8.24,32.91,50.48,15755.74,58.059,30.6,41,21.704,1.097,1.05,2/6/2007,8/20/2017
Axis,Axis Nifty Smallcap 50 Index Fund Direct Growth,Other,Very High Risk,2,33.28,11.83,0.19,26395.09,123.025,37.66,32,21.475,0.873,1.0,4/21/2011,2/5/2017
Nippon,Nippon India Nifty Midcap 150 Index Fund Direct Growth,Other,Very High Risk,3,9.66,-2.84,45.51,16402.78,136.46,78.16,23,21.178,0.9229999999999999,0.59,2/18/2011,12/29/2016
Axis,Axis Nifty 50 Index Fund Direct Growth,Other,Very High Risk,1,21.46,21.12,42.49,27473.97,293.964,1.38,44,18.394000000000002,1.069,1.06,1/6/2007,1/4/2018
Shriram,Shriram Overnight Fund Direct Growth,Debt,Low Risk,1,-0.66,22.3,30.15,11555.24,249.544,7.92,60,18.899,1.083,0.83,1/1/2014,12/14/2006
ICICI,ICICI Prudential Nifty Midcap 150 Index Fund Direct Growth,Other,Very High Risk,2,18.42,41.59,8.82,23742.59,269.311,64.13,20,20.314,1.129,0.67,8/25/2017,5/25/2017
HDFC,HDFC Multi Cap Fund Direct Growth,Equity,Very High Risk,4,10.81,34.83,35.51,21349.73,294.998,27.21,32,19.552,0.685,1.25,5/31/2016,10/7/2018
Shriram,Shriram Overnight Fund Direct Growth,Debt,Low Risk,4,16.63,17.89,24.93,774.53,18.788,11.7,34,20.314,0.7040000000000001,0.62,10/2/2015,1/6/2009
Bank,Bank of India Flexi Cap Fund Direct Growth,Equity,Very High Risk,5,5.89,15.73,-6.22,33630.01,322.008,70.35,40,22.403000000000002,1.103,1.28,5/16/2018,1/31/2020
ICICI,ICICI Prudential Housing Opportunities Fund Direct Growth,Equity,Very High Risk,1,6.49,40.01,32.8,28835.98,348.699,34.75,54,19.018,0.9440000000000001,0.81,3/22/2016,12/31/2016
Navi,Navi NASDAQ 100 FoF Direct Growth,Other,Very High Risk,3,32.64,18.33,46.21,31724.97,222.597,47.98,42,21.84,1.087,0.61,10/20/2007,2/15/2019
WhiteOak,WhiteOak Capital Flexi Cap Fund Direct Growth,Equity,Very High Risk,4,15.06,2.13,15.53,39466.11,199.40400000000002,30.08,32,21.183000000000003,1.0959999999999999,0.72,7/15/2015,8/8/2010
Motilal,Motilal Oswal Nifty Bank Index Fund Direct Growth,Other,High Risk,1,8.92,23.55,-6.59,18427.92,231.595,55.38,25,21.885,1.133,1.11,1/27/2015,7/12/2017
Edelweiss,Edelweiss US Technology Equity FoF Direct Growth,Other,Very High Risk,3,-31.14,44.81,-0.35,20423.41,314.45099999999996,23.18,62,20.843000000000004,1.058,1.29,6/21/2006,4/22/2014
Motilal,Motilal Oswal Nifty 500 Index Fund Direct Growth,Other,Moderately High Risk,3,4.34,-6.86,38.49,36870.97,196.731,91.58,64,22.054000000000002,0.884,0.62,4/10/2022,12/23/2006
Kotak,Kotak Nifty 50 Index Fund Direct Growth,Other,Very High Risk,1,2.78,3.8,45.55,14640.2,293.006,90.22,33,20.034000000000002,1.0390000000000001,0.59,11/6/2015,5/29/2009
HDFC,HDFC Dividend Yield Fund Direct Growth,Equity,Very High Risk,2,11.16,36.06,8.44,28698.16,310.277,34.81,34,21.464000000000002,1.002,1.31,4/4/2017,11/21/2016
Nippon,Nippon India Taiwan Equity Fund Direct Growth,Equity,Very High Risk,1,31.46,40.61,44.92,9584.46,199.355,55.09,27,19.624000000000002,0.986,0.78,4/8/2013,5/31/2009
HDFC,HDFC Banking & Financial Services Fund Direct Growth,Equity,Very High Risk,3,3.68,11.95,44.71,15376.19,281.487,77.63,64,20.028,0.728,0.99,7/18/2019,8/20/2016
Aditya,Aditya Birla Sun Life Nifty Smallcap 50 Index Fund Direct Growth,Other,Very High Risk,2,-15.1,-1.5,-3.06,15165.63,234.97,26.47,50,20.019000000000002,0.682,1.21,12/12/2011,11/14/2014
Motilal,Motilal Oswal Nifty Smallcap 250 Index Fund Direct Growth,Other,Moderately High Risk,1,4.26,35.44,23.54,24295.97,110.28200000000001,67.26,54,20.684,0.773,0.8,5/26/2017,5/10/2006
Nippon,Nippon India Multi Asset Fund Direct Growth,Hybrid,Very High Risk,1,4.0,33.87,54.03,3033.34,64.993,40.96,59,18.968,1.002,0.84,2/23/2014,7/8/2015
SBI,SBI Capital Protection Oriented Fund Series A (Plan 8) Direct Growth,Hybrid,Moderate Risk,3,7.35,-1.01,54.74,20511.57,93.49,27.01,25,18.852,0.767,0.52,2/10/2009,10/6/2006
Nippon,Nippon India Multi Asset Fund Direct Growth,Hybrid,Very High Risk,3,4.0,45.49,6.48,22745.09,255.16,82.65,17,22.51,1.157,0.7,12/10/2021,2/5/2022
Aditya,Aditya Birla Sun Life Nifty Midcap 150 Index Fund Direct Growth,Other,Very High Risk,2,9.98,18.44,22.26,3154.0,69.918,32.57,22,19.442999999999998,0.935,1.1,4/24/2016,2/28/2016
Aditya,Aditya Birla Sun Life Nifty Next 50 Index Fund Direct Growth,Other,Very High Risk,2,31.35,12.46,20.07,38247.13,67.318,94.85,33,21.639,1.089,0.88,7/27/2012,6/10/2015
Baroda,Baroda BNP Paribas Funds Aqua FoF Direct Growth,Other,Very High Risk,5,-18.07,8.09,37.67,8442.36,243.3,25.6,43,22.359,0.973,1.15,6/15/2011,4/10/2019
Edelweiss,Edelweiss Focused Equity Fund Direct Growth,Equity,Very High Risk,4,23.79,13.78,-1.75,31494.67,329.89099999999996,6.67,65,19.882,0.812,0.77,6/9/2019,3/18/2011
Axis,Axis Greater China Equity FoF Direct Growth,Other,Very High Risk,3,19.22,8.56,7.27,8946.82,317.879,2.4,53,19.384,0.7859999999999999,0.67,11/16/2015,8/2/2018
Axis,Axis Value Fund Direct Growth,Equity,Very High Risk,1,30.49,17.19,10.38,21286.47,235.602,64.26,35,20.504,1.145,1.12,12/16/2019,7/6/2018
UTI,UTI Focused Equity Fund Direct Growth,Equity,Very High Risk,1,4.39,13.16,8.79,14635.43,100.33200000000001,18.79,18,21.901999999999997,1.014,1.32,6/3/2017,7/12/2016
Baroda,Baroda BNP Paribas Large & Mid Cap Fund Direct Growth,Equity,Very High Risk,4,3.96,23.4,11.89,26081.27,274.969,84.98,49,20.864,0.765,0.64,4/29/2009,1/15/2017
HDFC,HDFC NIFTY 100 Equal Weight Index Fund Direct Growth,Other,Very High Risk,3,17.3,14.59,12.47,29487.04,117.529,74.61,19,20.623,0.953,1.07,5/9/2015,9/21/2007
ITI,ITI Banking and Financial Services Fund Direct Growth,Equity,Very High Risk,1,25.02,15.44,42.56,4587.21,86.225,0.65,17,18.97,1.1320000000000001,0.8,8/8/2013,9/12/2010
